,importance
AF8_gamma_power,0.0233621295102594
AF8_gamma_rel_power,0.017906402805958135
P4_std,0.016107769385232954
P8_gamma_rel_power,0.014010846576278456
TP7_gamma_rel_power,0.01044858222179269
C2_ptp,0.010274926344893569
F6_gamma_rel_power,0.010216875749292791
C1_std,0.009960726617970117
O1_gamma_rel_power,0.009725268797440997
P6_gamma_rel_power,0.009464025469866737
POZ_std,0.009278629332578956
FZ_theta_power,0.008944691583439197
C2_std,0.0089250758216496
P4_theta_power,0.008874955707324822
C1_gamma_power,0.008440806028205709
F8_gamma_rel_power,0.00838722914779572
P3_std,0.007930127970135321
FP2_gamma_power,0.0074483443830629745
F8_gamma_power,0.0069354566856568
P8_gamma_power,0.006600178728650645
C2_gamma_power,0.006529098856429297
TP7_gamma_power,0.006056141469827076
FCZ_std,0.005810318625979421
FP2_gamma_rel_power,0.005782179232308524
C1_beta_rel_power,0.005708224451067912
CPZ_std,0.005480766676908634
FZ_delta_power,0.0053536623770371085
AF2_theta_power,0.005326719599882095
P7_gamma_rel_power,0.005298120772865458
F6_gamma_power,0.005154210339406974
PZ_std,0.005036508435514505
FCZ_ptp,0.004942322866216069
P5_gamma_rel_power,0.004919245587087654
C1_ptp,0.004883694190153828
CP2_std,0.00480140106289556
CP4_ptp,0.004799501642602371
nd_gamma_power,0.004780642966309886
C1_delta_rel_power,0.00472471066652964
nd_gamma_rel_power,0.004687653187561886
FZ_beta_power,0.0045424142189798445
FC3_std,0.004452416219218838
P1_std,0.0042409767004119225
FPZ_theta_power,0.004212805998029686
F2_gamma_rel_power,0.003925927963944008
AFZ_theta_power,0.0038810874087222736
P4_delta_power,0.0038231194197435626
FC1_std,0.003755298557203211
FC4_theta_power,0.003560887266627842
P3_theta_power,0.0035298065546785005
CP6_gamma_rel_power,0.0035200185688013213
FCZ_theta_power,0.003517612823443479
P6_theta_power,0.0035150237426873118
CP2_alpha_power,0.00351097823285275
AF8_beta_power,0.0033905945048755826
AF8_beta_rel_power,0.003365195323870289
C1_gamma_rel_power,0.0033445019978600803
CP1_ptp,0.0033054409328199864
CP4_std,0.003279610071240766
POZ_ptp,0.0032654164260709855
AF8_theta_rel_power,0.0032216259421955014
P5_ptp,0.0031571827867833855
AF1_theta_power,0.0031123866468534857
AF1_delta_power,0.003048898160400416
TP8_gamma_rel_power,0.002970279752624528
P5_std,0.002943831948360307
FC6_gamma_power,0.0029192371975596387
FC5_std,0.0029172785643708783
OZ_gamma_rel_power,0.0029016762778829083
FC1_gamma_power,0.002866960785735467
C6_std,0.0028305475363901824
FC6_std,0.002789353434959906
FT7_gamma_power,0.0027418863371545497
CP4_theta_power,0.002712785267036682
P2_std,0.002706732458399096
C2_delta_power,0.002674013496120863
CP2_theta_power,0.0026625805752366173
FC4_beta_power,0.0026575472282468616
FC1_beta_power,0.002652256792393779
FC1_theta_power,0.0025951876793507338
POZ_theta_power,0.0025431841126035766
FC5_gamma_rel_power,0.0025403600782971263
FC6_beta_power,0.002533045284365011
C2_delta_rel_power,0.0024931125229917866
